group_name,state,valid_district_id,valid_nces_id,valid_opp_count,valid_opp_revenue,valid_school_count,valid_session_count,valid_session_revenue,valid_course_count,orphaned_district_id,orphaned_opp_count,orphaned_opp_revenue,orphaned_school_count,orphaned_session_count,orphaned_course_count,combined_revenue,action
BYNUM INDEPENDENT SCHOOL DISTRICT,TX,17592296963982,4812360,0,0,1,0,0,0,17592284314459,1,65000,1,0,0,65000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
CUTLER-OROSI JOINT UNIFIED SCHOOL DISTRICT,CA,17592296969529,610350,0,0,10,0,0,0,17592291232464,1,65000,1,0,0,65000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SOUTH TEXAS INDEPENDENT SCHOOL DISTRICT,TX,17592296969956,4837150,0,0,6,0,0,0,17592284318392,1,62000,1,0,0,62000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
GARDEN CITY SCHOOL DISTRICT,NY,17592295373482,3611760,0,0,7,0,0,0,17592188518424,8,61311.45,1,0,0,61311.45,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
SPARTANBURG COUNTY SCHOOL DISTRICT 02,SC,17592295229126,4503510,0,0,15,0,0,0,17592284310114,1,60000,1,0,0,60000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
TULPEHOCKEN AREA SCHOOL DISTRICT,PA,17592296981034,4223820,0,0,3,0,0,0,17592284319070,1,59000,1,0,0,59000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
ELWOOD SCHOOL DISTRICT,NY,17592297007416,3610680,0,0,4,0,0,0,17592188843869,11,58493.61,1,0,0,58493.61,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
VALLEY STREAM UNION FREE SCHOOL DISTRICT 30,NY,17592295250237,3629490,0,0,3,0,0,0,17592240468710,3,57412.5,1,0,0,57412.5,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
INGLESIDE INDEPENDENT SCHOOL DISTRICT,TX,17592296966545,4824180,0,0,5,0,0,0,17592284318815,1,57000,1,0,0,57000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
HARDIN PUBLIC SCHOOLS,MT,17592296957924,3013310/3013340,0,0,1,0,0,0,17592188371686,1,55000,1,0,0,55000,"Migrate opps from orphaned_district_id to valid_district_id, then retire orphaned ID"
