,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
Heber Springs School District,0507560,AR,Arkansas 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$11,940.00",$0.00,,,
Helena Elementary Schools,3000005,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Helena High Schools,3013830,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Hempstead School District,3614130,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Hendry County School District (FL),1200780,FL,Florida 2027,2027,Jenn Russart,EK12,"$64,362.00",$0.00,$0.00,$0.00,"$100,000.00",,,
Henry County Schools,1302820,GA,Georgia 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$59,170.78",$0.00,,,
Herington Unified School District 487,2007110,KS,Kansas 2027,2027,,EK12,$0.00,$0.00,"$10,163.20",$0.00,$0.00,,,
Herricks School District,3614280,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Hewlett Woodmere School District,3631710,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Hickman County School District,4701860,TN,Tennessee 2027,2027,,EK12,$0.00,$0.00,"$33,740.80",$0.00,$0.00,,,
Hidalgo Independent School District,4823100,TX,Texas 2027,2027,Monica Davis,EK12,$0.00,$0.00,$0.00,"$85,920.00",$0.00,,,
Highland Falls-Fort Montgomery Central School District,3614430,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$7,959.00",$0.00,$0.00,$0.00,"$20,000.00",,,
Highline Public Schools,5303540,WA,Washington 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Hillsborough County Public Schools,1200870,FL,Florida 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$150,000.00","$150,000.00",,,
Hobbs Municipal Schools,3501260,NM,New Mexico 2027,2027,,EK12,$0.00,$0.00,"$86,936.40",$0.00,$0.00,,,
Hobgood Charter School,3700445,NC,North Carolina 2027,2027,Lauren Kleist,EK12,"$76,551.00",$0.00,$0.00,$0.00,"$76,551.00",,,
Holcomb R-III School District,2914460,MO,Missouri 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$7,500.00",$0.00,,,
Holland Patent Central School District,3614580,NY,New York 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$13,365.00",$0.00,,,
Homer Central School District,3614640,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$21,753.78",$0.00,$0.00,$0.00,$0.00,,,
Honeoye Central School District,3614670,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$28,874.76",$0.00,$0.00,$0.00,$0.00,,,
Honeoye Falls-Lima School District,3614700,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$4,500.00",$0.00,,,
Hononegah Chd 207,1719620,IL,Illinois 2027,2027,Allie Vincent,EK12,$0.00,$0.00,$0.00,"$14,264.00",$0.00,,,
Hopewell City Public Schools,5101980,VA,Virginia 2027,2027,,EK12,$0.00,$0.00,"$18,528.00",$0.00,$0.00,,,
Houston Independent School District,4823640,TX,Texas 2027,2027,Marneé Grant,Fullmind,$0.00,$0.00,$0.00,"$250,000",$0.00,,,
Humboldt County School District,3200210,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$37,912.00",$0.00,$0.00,,,
Humboldt Unified School District,0403870,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$28,400.00",$0.00,$0.00,,,
Hutchinson Public Schools 308,2007620,KS,Kansas 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$15,735.00",$0.00,,,
Idea Public Schools (District),1200084,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$3,000.00",$0.00,,,
Indianapolis Metropolitan High School,1800064,IN,Indiana 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$7,500.00",$0.00,,,
Indianapolis Public Schools,1804770,IN,Indiana 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Islip Union Free School District,3615540,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Ithaca City School District,3615570,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$23,559.47",$0.00,$0.00,$0.00,"$136,000.00",,,
Jackson County Schools,3702340,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$25,110.00","$13,072.00",$0.00,,,
Jackson Public School District,2802190,MS,Mississippi 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$75,000.00","$75,000.00",,,
Jacksonville North Pulaski School District,0500419,AR,Arkansas 2027,2027,David Downs,EK12,$0.00,$0.00,$0.00,"$205,520.00",$0.00,,,
Jamestown Public Schools,3615630,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$12,857.65",$0.00,$0.00,$0.00,"$25,000.00",,,
Jefferson County Schools KY,2102990,KY,Kentucky 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Jefferson Elementary School District,0618870,CA,California 2027,2027,Katherine Gannon,EK12,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Jericho School District,3615810,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$38,748.00",$0.00,$0.00,$0.00,"$60,000.00",,,
Jersey City Comm Charter School,3400033,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$48,900.00",$0.00,,,
Jersey City School District,3407830,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$80,000.00","$80,000.00",,,
Johnson County School District,1303120,GA,Georgia 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$64,000.00",$0.00,,,
Johnson County School District #1,5603770,WY,West Virginia,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$14,664.00",$0.00,,,
Johnston County Public Schools,3702370,NC,North Carolina 2027,2027,,EK12,$0.00,$0.00,"$92,002.00","$112,500.00",$0.00,,,
Joliet Public School District 86,1720580,IL,Illinois 2027,2027,Phil Dugliss,EK12,"$31,000.00",$0.00,$0.00,$0.00,"$31,000.00",,,
Kalispell High Schools,3015450,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Kanawha County Schools,5400600,WV,West Virginia,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Kankakee School District 111,1720760,IL,Illinois 2027,2027,Lauren Kleist,EK12,"$15,500.00",$0.00,$0.00,$0.00,"$15,500.00",,,
Kansas City 33 School District,2916400,MO,Missouri 2027,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Katonah-Lewisboro School District,3616080,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$8,804.00","$4,000.00",$0.00,$0.00,$0.00,,,
Kemper County School District,2802310,MS,Mississippi 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$27,900.00",$0.00,,,
Kent School District,5303960,WA,Washington 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Kingdom East Supervisory Union,5000407,VT,Vermont 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Kingman Unified School District,0400295,AZ,Arizona 2027,2027,Hayley Spira Bauer,Fullmind,"$22,187.69",$0.00,$0.00,$0.00,"$49,999.98",,,
Kings Park School District,3616260,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$8,000.00",$0.00,,,
Kingston City School District,3616290,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$19,820.00",$0.00,$0.00,$0.00,"$50,000.00",,,
Kinnelon High School,3408040,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$13,500.00",$0.00,,,
KIPP Columbus,3901330,OH,Ohio 2027,2027,,EK12,$0.00,$0.00,"$36,904.00",$0.00,$0.00,,,
Kipp Delta Public Schools,0500062,AZ,Arizona 2027,2027,,EK12,$0.00,$0.00,"$119,280.00",$0.00,$0.00,,,
KIPP Minnesota Public Schools,2700308,MN,Minnesota 2027,2027,Lauren Kleist,EK12,"$77,321.00",$0.00,$0.00,$0.00,"$77,321.00",,,
Konocti Unified School District,0620070,CA,California 2027,2027,Monica Sherwood,Fullmind,"$292,240.90",$0.00,$0.00,$0.00,"$450,000.00",,,
Lackawanna City SD,3616440,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$200,000",$0.00,,,
Lafayette School Corporation,1805400,IN,Indiana 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$18,600.00",$0.00,,,
Lake Havasu Unified District,0404280,AZ,Arizona 2027,2027,Hayley Spira Bauer,Fullmind,"$49,014.00",$0.00,$0.00,$0.00,"$149,999.97",,,
Lake Holcombe School District,5507680,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,"$4,950.00",$0.00,$0.00,$0.00,"$4,950.00",,,
Lake Ridge New Tech Schools,1805460,IN,Indiana 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$18,900.00",$0.00,,,
Lakeland School District,3616620,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$7,747.83",$0.00,$0.00,$0.00,$0.00,,,
Lakeview Sch. District (Calhoun),2620850,MI,Michicagn 2027,2027,,EK12,$0.00,$0.00,"$18,820.00",$0.00,$0.00,,,
Lakin Unified School District 215,2008280,KS,Kansas 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$55,092.40",$0.00,,,
Lamar Consolidated Independent School District,4826580,TX,Texas 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$200,000.00",$0.00,,,
Lancaster County School District 01,4502580,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,"$24,948.40","$39,500.00","$90,000.00",,,
Lancaster County School District 1,5102160,VA,Virginia 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$25,000.00","$25,000.00",,,
Lancaster CSD,3616680,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$200,000",$0.00,,,
Lancaster Independent School District,4826670,TX,Texas 2027,2027,Liz Winnen,EK12,"$284,166.00",$0.00,$0.00,$0.00,"$255,000.00",,,0
Lansing Public School District,2621150,MI,Michicagn 2027,2027,Jenn Russart,EK12,"$120,300.00",$0.00,$0.00,$0.00,"$27,000.00",,,
Lansingburgh Central School District,3616740,NY,New York 2027,2027,,EK12,$0.00,$0.00,"$21,700.00",$0.00,$0.00,,,
Lasalle Parish School Board,1722110,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$10,544.00",$0.00,$0.00,,,
Laurel Public Schools,3016230,MT,Montana 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$7,500.00",$0.00,,,
Lawnside Borough School District,3408340,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,"$42,294.00","$10,000.00",$0.00,$0.00,"$42,294.00",,,
Lawrence County School District,4702340,TN,Tennessee 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$29,140.00",$0.00,,,
Lawrence Public Schools,2506660,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Lawrence Union Free School District,3616830,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$27,238.40",$0.00,$0.00,,,
Lawton Public Schools,4017250,OK,Oklahoma 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$95,000",$0.00,,,
Leadership Public Schools: Richmond,0601892,CA,California 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$59,400.00",$0.00,,,
Lee County School District,4502670,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$33,600.00",$0.00,,,
Lee County Schools,3702560,NC,North Carolina 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$20,000.00",$0.00,,,
Lehigh Valley Academy Regional Charter School (District),4200098,PA,Pennsylvania 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$22,500.00",$0.00,,,
Lemont Township High School District 210(dupe),1722500,IL,Illinois 2027,2027,Mike O'Donnell,Fullmind,"$6,749.00",$0.00,$0.00,$0.00,$0.00,,,
Leominster Public Schools,2506780,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Lewis County Schools,5400630,WV,West Virginia,2027,,Fullmind,$0.00,$0.00,"$29,400.00",$0.00,$0.00,,,
Lewiston Elementary School District,0621480,CA,California 2027,2027,Monica Sherwood,Fullmind,"$12,448.00",$0.00,$0.00,$0.00,$0.00,,,
Lewiston Public Schools,2314842,ME,Maine 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$250,000.00",$0.00,,,
Lewiston-Porter Central School District,3617190,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$22,190.00","$12,000.00",$0.00,,,
Lexington County School District 01,4502700,SC,South Carolina 2027,2027,Melodie Blackwood,Fullmind,"$35,726.00","$65,758.00","$65,758.00",$0.00,"$120,000.00",,,
Lexington District 2,4502730,SC,South Carolina 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$12,000.00",$0.00,,,
Lexington-Richland School District 05,4502820,SC,South Carolina 2027,2027,Michele Charles,EK12,$0.00,$0.00,$0.00,"$30,675.00",$0.00,,,
Libby Public Schools,3016530,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Lincoln Consolidated School District,2621570,MI,Michicagn 2027,2027,,EK12,$0.00,$0.00,"$21,360.00",$0.00,$0.00,,,
Lincoln Elementary School District 156,1708100,IL,Illinois 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$11,064.00",$0.00,,,
Lincoln Tech,2200275,LA,Louisiana 2033,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$6,800.00",$0.00,,,
Linden,3408610,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$150,000.00",$0.00,,,
Litchfield Community School,2621750,MI,Michicagn 2027,2027,Phil Dugliss,EK12,"$26,850.00",$0.00,$0.00,$0.00,"$17,900.00",,,
Litchfield Community Unit School District 12,1723250,IL,Illinois 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$20,000.00",$0.00,,,
Little Rock School District,0509000,AR,Arkansas 2027,2027,,EK12,$0.00,$0.00,"$124,305.44","$28,860.00",$0.00,,,
Liverpool Central School District,3617520,NY,New York 2027,2027,,EK12,$0.00,$0.00,"$12,400.00","$21,880.00",$0.00,,,
Lockwood Schools,3000656,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Locust Valley School District,3617700,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Lodi School District,3408850,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$13,258.20",$0.00,,,
Londonderry School District,3304410,NH,New Hampshire 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Long Beach School District,3617730,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Long Branch Public School District,3408940,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$13,500.00",$0.00,,,
Longview Independent School District,4828110,TX,Texas 2027,2027, ,Fullmind,$0.00,$0.00,$0.00,"$60,000.00",$0.00,,,
Lopatcong Township School District,3409000,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$9,000.00",$0.00,,,
Loudoun County Public Schools,5102250,VA,Virginia 2027,2027,Michelle Mirzoian,EK12,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Lowell Public Schools,2507020,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Lps Oakland R And D Campus (District),0601967,CA,California 2027,2027,Lauren Kleist,EK12,"$34,485.00",$0.00,$0.00,$0.00,"$34,485.00",,,
Lumpkin County School District,1303420,GA,Georgia 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$24,587.01",$0.00,,,
Lynbrook Union Free School District,3617910,NY,New York 2027,2027,Brooke Fera,Fullmind,"$1,149.54",$0.00,$0.00,$0.00,$0.00,,,
Macon County Schools,3702760,NC,North Carolina 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$25,000.00","$25,000.00",,,
Making Waves Academy,0601502,CA,California 2027,2027,Scott Burmaster,EK12,$0.00,$0.00,$0.00,"$28,340.00",$0.00,,,
Malverne School District,3618210,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Manatee County Public Schools,1201230,FL,Florida 2027,2027,Jenn Russart,EK12,"$149,445.00",$0.00,$0.00,$0.00,"$200,000.00",,,
Manchester School District,3304590,NH,New Hampshire 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Manitowoc School District,5508610,WI,Wisconsin 2027,2027,,EK12,$0.00,$0.00,"$28,528.00","$16,116.00",$0.00,,,
Manville School District,3409630,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$10,698.00",$0.00,$0.00,,,
Maple Dale-Indian Hill School District,5504770,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,"$20,142.00",$0.00,$0.00,$0.00,"$20,142.00",,,
Marathon School District,5508670,WI,Wisconsin 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$11,140.00",$0.00,,,
Marcellus Community Schools,2622740,MI,Michicagn 2027,2027,Phil Dugliss,EK12,"$46,500.00",$0.00,$0.00,$0.00,"$46,500.00",,,
Marcum-Illinois Union Elementary School District,0623800,CA,California 2027,2027,Monica Sherwood,Fullmind,"$5,521.41",$0.00,$0.00,$0.00,$0.00,,,
Marin County Office of Education,0691018,CA,California 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$130,000.00",$0.00,,,
Marion County Schools,4503908,SC,South Carolina 2027,2027,Nora Navarro,EK12,"$720,146.00",$0.00,$0.00,$0.00,"$422,936.00",,,
Marion County Schools,5400720,WV,West Virginia,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Marion P Thomas Charter School,3400022,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$49,964.00",$0.00,$0.00,,,
Marlboro County School District 01,4502970,SC,South Carolina 2027,2027,,EK12,$0.00,$0.00,"$144,392.32",$0.00,$0.00,,,
Marshall County School District,4702670,TN,Tennessee 2027,2027,Lauren Kleist,EK12,"$38,749.80",$0.00,$0.00,$0.00,"$7,749.96",,,
Massena Central School District,3618660,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$2,746.68",$0.00,$0.00,$0.00,$0.00,,,
Matchbook Learning at Wendell Phillips,1800194,IN,Indiana 2027,2027,,EK12,$0.00,$0.00,"$32,938.40",$0.00,$0.00,,,
Mathis Independent School District,4829400,TX,Texas 2027,2027,Rachel Reynoso,Fullmind,"$115,807.00",$0.00,$0.00,$0.00,"$165,000.00",,,
Mattituck - Cutchogue School District,3600021,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$10,538.60",$0.00,$0.00,$0.00,$0.00,,,
Mayfield School District,3618750,NY,New York 2027,2027,Kris Tedesco,Fullmind,"$6,598.71",$0.00,$0.00,$0.00,$0.00,,,
McCamey Independent School District,4829700,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$24,000.00",$0.00,,,
McMinn County School District,4702820,TN,Tennessee 2027,2027,Paul Timlin,EK12,$0.00,$0.00,$0.00,"$13,500.00",$0.00,,,
Mecklenburg County Public Schools,5102460,VA,Virginia 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$10,000.00",$0.00,,,
Medford,4108040,OR,Oregon 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Medford Area School District,5508940,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$20,934.00",$0.00,,,
Medina Central School District,3618960,NY,New York 2027,2027,Mike O'Donnell,Fullmind,"$118,886.82",$0.00,$0.00,$0.00,"$140,000.00",,,
Menahga Public School District,2720580,MN,Minnesota 2027,2027,Tony Skauge,Fullmind,"$19,668.75",$0.00,$0.00,$0.00,$0.00,,,
Menominee Tribal School,5509070,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,"$58,371.42",$0.00,$0.00,$0.00,"$51,371.42",,,
Menomonie Area School District,5509090,WI,Wisconsin 2027,2027,Phil Dugliss,EK12,$0.00,$0.00,$0.00,"$23,260.00",$0.00,,,
Meridian Elementary School District,0624690,CA,California 2027,2027,Monica Sherwood,Fullmind,"$19,304.27",$0.00,$0.00,$0.00,$0.00,,,
Metropolitan Nashville Public Schools,4703180,TN,Tennessee 2027,2027,Melodie Blackwood,Fullmind,"$56,700.00",$0.00,$0.00,$0.00,"$50,000.00",,,
Metropolitan School District Washington Township,1812720,IN,Indiana 2027,2027,Nora Navarro,EK12,$0.00,$0.00,$0.00,"$42,160.00","$25,000.00",,,
Miami-Dade County School District,1200390,FL,Florida 2027,2027,Matt Landwehr,EK12,$0.00,$0.00,$0.00,"$50,000.00","$50,000.00",,,
Middle Country School District,3619200,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$3,714.06",$0.00,$0.00,$0.00,$0.00,,,
Middletown Unified School District,0624750,CA,California 2027,2027,Monica Sherwood,Fullmind,"$148,422.00","$28,350.00",$0.00,$0.00,"$150,000.00",,,
Midland Community Unit School District 7,1700126,IL,Illinois 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$11,040.00",$0.00,,,
Millbury Public Schools,2507890,MA,Massachusettes 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Miller County School District,1303660,GA,Georgia 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$32,000.00",$0.00,,,
Millsap Independent School District,4830870,TX,Texas 2027,2027,Connor Watts,EK12,$0.00,$0.00,$0.00,"$22,192.00",$0.00,,,
Milton-Union Exempted Village School District,3904551,OH,Ohio 2027,2027,Patricia Kiedrow,EK12,"$73,625.00",$0.00,$0.00,$0.00,"$73,625.00",,,
Milwaukee Public School District,5509600,WI,Wisconsin 2027,2027,Jenn Russart,EK12,"$1,348,579.00",$0.00,$0.00,$0.00,"$1,248,000.00",,,
Mineral Wells Independent School District,4830950,TX,Texas 2027,2027,Lisa Bufka,EK12,$0.00,$0.00,$0.00,"$15,000.00",$0.00,,,
Missoula County District,3018540,MT,Montana 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$27,000.00",$0.00,,,
Monongalia County Schools,5400930,WV,West Virginia,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Monroe County Public Schools,1201320,FL,Florida 2027,2027,,EK12,$0.00,$0.00,"$16,260.00",$0.00,$0.00,,,
Montclair Cooperative,3410560,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$7,500.00",$0.00,,,
Monterey Peninsula Unified School District,0625530,CA,California 2027,2027,Katherine Gannon,EK12,$0.00,$0.00,$0.00,"$18,000.00",$0.00,,,
Montgomery County Public Schools,2400480,MD,Maryland 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$37,500.00",$0.00,,,
Montgomery County Schools,0102430,AL,Alabama 2027,2027,Brigette Smith,EK12,$0.00,$0.00,$0.00,"$30,000.00",$0.00,,,
Monticello ISD,2721390,MN,Minnesota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$225,000",$0.00,,,
Moorhead Public Schools,2721420,MN,Minnesota 2027,2027,Tony,Fullmind,$0.00,$0.00,$0.00,"$160,000",$0.00,,,
Morris Plains School District,3410770,NJ,New Jersey 2027,2027,Patricia Kiedrow,EK12,$0.00,$0.00,$0.00,"$13,500.00",$0.00,,,
Mott Haven Village Preparatory High School,3600960,NY,New York 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$7,499.70",$0.00,,,
Mt. Diablo Unified School District,0626370,CA,California 2027,2027,,EK12,$0.00,$0.00,"$62,000.00","$92,128.00",$0.00,,,
Nanuet School District,3620190,NY,New York 2027,2027,Rachel Reynoso,Fullmind,"$14,303.00",$0.00,$0.00,$0.00,$0.00,,,
Nashua School District,3304980,NH,New Hampshire 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,"$250,000.00",$0.00,,,
Natchitoches Parish School Board,2201140,LA,Louisiana 2029,2027,,EK12,$0.00,$0.00,"$20,866.80",$0.00,$0.00,,,
Neillsville School District,5510350,WI,Wisconsin 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$18,900.00",$0.00,,,
Nelson County Schools (KY),2104410,KY,Kentucky 2027,2027,Liz Winnen,EK12,"$107,376.00",$0.00,$0.00,$0.00,"$80,000.00",,,
Neshaminy School District,4216410,PA,Pennsylvania 2027,2027,Kris Tedesco,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
New Athens Community Unit School District 60,1727960,IL,Illinois 2027,2027,,EK12,$0.00,$0.00,"$27,912.00",$0.00,$0.00,,,
New Brunswick,3411220,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$20,000.00",$0.00,,,
New Castle County Vocational-Technical School District,1001280,DE,Deleware 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$27,045.00",$0.00,,,
New Lisbon School District,5510560,WI,Wisconsin 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$19,242.00",$0.00,,,
New Milford School District,3411280,NJ,New Jersey 2027,2027,,EK12,$0.00,$0.00,"$15,000.00","$22,752.00",$0.00,,,
New Providence School District,3411310,NJ,New Jersey 2027,2027,Jenn Russart,EK12,$0.00,$0.00,$0.00,"$10,987.20",$0.00,,,
New Rochelle City School District,3620490,NY,New York 2027,2027,,Fullmind,$0.00,$0.00,"$52,792.40",$0.00,$0.00,,,
New Trier Township High School District 203,1728200,IL,Illinois 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$8,000.00",$0.00,,,
New Visions Charter High School For Advanced Math And Science III (District),3601088,NY,New York 2027,2027,Paul Sheffield,Fullmind,$0.00,$0.00,$0.00,"$27,000.00",$0.00,,,
New Visions Charter High School For Advanced Math And Science Iv,3601047,NY,New York 2027,2027,Alex Hofeldt,EK12,$0.00,$0.00,$0.00,"$19,272.00",$0.00,,,
