,,,,,,"$67,677,942.08","$27,680,666.65","$1,716,620.53","$7,041,752.33","$31,238,902.57","$38,099,573.99",,,
Account,LEA ID,State,Territory Plan Name,Territory Plan Fiscal Year,Distroct Owner,Company,Renewal Target,Expansion Target,Win Back Target,New Business Target,FY27 Open Pipeline,,,
Box Elder Public Schools,3004500,MT,Montana 2027,2027,Steve Pines,Fullmind,$0.00,$0.00,$0.00,"$126,600.00",$0.00,,,
Boyd Independent School District,4811010,TX,Texas 2027,2027,Katelyn Hansen,EK12,$0.00,$0.00,$0.00,"$13,500.00",$0.00,,,
Bozeman Elementary Schools,3004560,MT,Montana 2027,2027,Monica Sherwood,Fullmind,$0.00,$0.00,$0.00,"$150,000",$0.00,,,
Bridgehampton School District,3605370,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
Bridgewater-Raritan Regional School District,3402280,NJ,New Jersey 2027,2027,Colin Herbrand,EK12,$0.00,$0.00,$0.00,"$18,300.00",$0.00,,,
Broken Arrow Public Schools,4005490,OK,Oklahoma 2027,2027,Melodie Blackwood,Fullmind,$0.00,$0.00,$0.00,"$95,000",$0.00,,,
Brooks County School District,1300540,GA,Georgia 2027,2027,Joy Panko,Fullmind,$0.00,$0.00,$0.00,"$32,000.00",$0.00,,,
Broome-Delaware-Tioga Boces,3680140,NY,New York 2027,2027,Mike O'Donnell,Fullmind,$0.00,$0.00,$0.00,"$7,425.00",$0.00,,,
Browning Public Schools,3005140,MT,Montana 2027,2027,Monica Sherwood,Fullmind,"$670,939.68",$0.00,$0.00,$0.00,"$1,150,000.00",,,
Browns Elementary School District,0606100,CA,California 2027,2027,Monica Sherwood,Fullmind,"$6,108.96",$0.00,$0.00,$0.00,$0.00,,,
Brownsville Independent School District,4811680,TX,Texas 2027,2027,Monica Davis,EK12,$0.00,$0.00,$0.00,"$37,500.00",$0.00,,,
Brownwood Independent School District,4811700,TX,Texas 2027,2027,,EK12,$0.00,$0.00,"$13,550.80",$0.00,$0.00,,,
Bryan Independent School District,4811790,TX,Texas 2027,2027,Allie Vincent,EK12,$0.00,$0.00,$0.00,"$22,500.00",$0.00,,,
Buckingham County Public Schools,5100540,VA,Virginia 2027,2027,Jina Blount,EK12,$0.00,$0.00,$0.00,"$10,744.00",$0.00,,,
Bullock County Schools,0100480,AL,Alabama 2027,2027,,EK12,$0.00,$0.00,"$17,466.00",$0.00,$0.00,,,
Burch Charter School of Excellence,3400724,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,"$90,284.00",$0.00,"$16,128.00",$0.00,"$150,000.00",,,
Burlington,3402430,NJ,New Jersey 2027,2027,Brooke Fera,Fullmind,$0.00,$0.00,$0.00,"$150,000.00",$0.00,,,
Burlington Public School District No. Re-6J,0802670,CO,Colorado 2027,2027,Lauren Kleist,EK12,"$56,314.08",$0.00,$0.00,$0.00,"$15,220.08",,,
Burnham School District 154-5,1707860,IL,Illinois 2027,2027,Liz Winnen,EK12,$0.00,$0.00,$0.00,"$20,516.00",$0.00,,,
Burnt Hills-Ballston Lake School District,3605940,NY,New York 2027,2027,Rachel Reynoso,Fullmind,$0.00,$0.00,$0.00,$0.00,$0.00,,,
