Agency NCES ID,Competitor,PO Number,PO Amount,Agency,Agency City,Agency State,PO Signed Date,Fiscal Year
3407980,Educere,23-01582,"$52,850",Kingsway Regional School District,Woolwich Twp.,New Jersey,08/26/2022,FY23
4218510,Educere,Z01133,"$64,093",Parkland School District,Allentown,Pennsylvania,08/26/2022,FY23
3417070,Educere,23-01942,"$25,000",Washington Township School District (Gloucester County),Sewell,New Jersey,08/25/2022,FY23
5517130,Educere,2022200008,"$1,999",Wonewoc-Union Center School District,Wonewoc,Wisconsin,08/24/2022,FY23
5512030,Educere,2300000100,"$1,999",South Shore School District,Port Wing,Wisconsin,08/24/2022,FY23
4220580,Educere,2300000252,"$9,995",South Fayette Township School District,McDonald,Pennsylvania,08/24/2022,FY23
4218120,Educere,VEN:EDUCERE LLC DT:08/24/2022,"$2,535",Old Forge School District,Old Forge,Pennsylvania,08/24/2022,FY23
4225230,Educere,BA175300,"$49,975",West Branch Area School District,Morrisdale,Pennsylvania,08/24/2022,FY23
4221490,Educere,2300000236,"$19,990",Shenandoah Valley School District,Shenandoah,Pennsylvania,08/23/2022,FY23
4207540,Educere,22000547,"$19,990",Deer Lakes School District,Cheswick,Pennsylvania,08/23/2022,FY23
4207710,Educere,291063,"$14,823",Downingtown Area School District,Downingtown,Pennsylvania,08/23/2022,FY23
4205190,Educere,402223036,"$1,197",Centennial School District,Warminster,Pennsylvania,08/22/2022,FY23
4225230,Educere,BA175200,"$49,975",West Branch Area School District,Morrisdale,Pennsylvania,08/19/2022,FY23
3404380,Educere,300576,"$1,914",Eastern Camden County Regional School District,Voorhees,New Jersey,08/18/2022,FY23
4220580,Educere,2300000239,"$15,992",South Fayette Township School District,McDonald,Pennsylvania,08/18/2022,FY23
4220580,Educere,2300000238,"$15,992",South Fayette Township School District,McDonald,Pennsylvania,08/18/2022,FY23
,Educere,P202300572,"$10,000",Northern Highlands Regional School District,Allendale,New Jersey,08/17/2022,FY23
1730630,Educere,DT:08/17/2022 CHK:105124,"$2,090",Pana Community Unit School District 8,Pana,Illinois,08/17/2022,FY23
5508640,Educere,12230139,"$7,996",Maple School District,Maple,Wisconsin,08/17/2022,FY23
3406390,Educere,PO-23-00534,"$7,137",Haddonfield Borough School District,Haddonfield,New Jersey,08/17/2022,FY23
1723250,Educere,2206,"$1,690",Litchfield Community Unit School District 12,Litchfield,Illinois,08/16/2022,FY23
5503840,Educere,4002300050,"$5,997",Durand School District,Durand,Wisconsin,08/16/2022,FY23
5509780,Educere,23001467,"$4,998",Mondovi School District,Mondovi,Wisconsin,08/16/2022,FY23
3410110,Educere,PO-23-000606,"$1,175",Middletown Township School District,Leonardo,New Jersey,08/16/2022,FY23
5505940,Educere,DT:08/16/2022 CHK:131291,"$2,975",Greenfield School District,Greenfield,Wisconsin,08/16/2022,FY23
5500210,Educere,8000007462,"$1,999",Alma Center School District,Alma Center,Wisconsin,08/15/2022,FY23
900750,Educere,PO:230375 VEN:EDUCERE LLC-S-Corp DT:08/15/2022,$0,Cheshire School District,Cheshire,Connecticut,08/15/2022,FY23
3680680,Educere,23-01190,"$25,000",Putnam-Westchester Board of Cooperative Educational Services,Yorktown Heights,New York,08/15/2022,FY23
3904380,Educere,23003238,"$11,000",Columbus City School District,Columbus,Ohio,08/11/2022,FY23
3404920,Educere,23001431,"$8,000",Ewing Township School District,Ewing,New Jersey,08/10/2022,FY23
4205700,Educere,DT:08/10/2022 CHK:4252,"$1,197",Chartiers Valley School District,Pittsburgh,Pennsylvania,08/10/2022,FY23
1738130,Educere,52829,"$2,999",Sullivan Community Unit School District 300,Sullivan,Illinois,08/09/2022,FY23
4400660,Educere,230291,"$7,600",Narragansett School District,Narragansett,Rhode Island,08/09/2022,FY23
4206060,Educere,TRN:AP1249100017,"$3,900",Clarion Area School District,Clarion,Pennsylvania,08/09/2022,FY23
3404500,Educere,PO-23-0000630,"$1,247",Edison Township School District,Edison,New Jersey,08/08/2022,FY23
,Educere,2300610,"$1,500",Granville School District,Granville,Ohio,08/08/2022,FY23
5103930,Educere,20230620,"$3,998",Waynesboro City Public Schools,Waynesboro,Virginia,08/08/2022,FY23
1722830,Educere,8602310034,"$3,171",Libertyville Community High School District 128,Vernon Hills,Illinois,08/08/2022,FY23
802430,Educere,57328,"$2,786",Bennett School District 29-J,Bennett,Colorado,08/04/2022,FY23
5300001,Educere,PO:6502200004 VEN:EDUCERE LLC DT:08/02/2022,"$2,000",Enumclaw School District,Enumclaw,Washington,08/02/2022,FY23
3410710,Educere,300573,"$4,000",Moorestown Township School District,Moorestown,New Jersey,08/02/2022,FY23
2502670,Educere,2300464,"$5,623",Billerica School District,Billerica,Massachusetts,08/01/2022,FY23
