"leaid","name","state_location","city_location","Official Domain JSON","Website","Job Board JSON","Job Board","External Platform"
"2004170","Altoona-Midway Unified School District 387","KS","Buffalo","Response","usd387.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&trimText=2&employerCode=ffcc1eb48c4c50f&MapQuery=20584","Educate Kansas"
"2006330","Fort Leavenworth Unified School District 207","KS","Fort Leavenworth","Response","usd207.org","Response","https://fortleavenworth.tedk12.com/hire/index.aspx","TalentEd"
"2007110","Herington Unified School District 487","KS","Herington","Response","heringtonschools.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&trimText=2&employerCode=373599977900b5a&MapQuery=19","Educate Kansas"
"3611970","Geneva City School District","NY","GENEVA","Response","genevacsd.org","Response","https://genevacsd.recruitfront.com/JobBoard","RecruitFront"
"4502280","Georgetown County School District","SC","Georgetown","Response","gcsd.k12.sc.us","Response","https://gcsd.tedk12.com/hire/index.aspx","TED"
"4819820","Freer Independent School District","TX","FREER","Response","freerisd.org","Response","https://freerisd.tedk12.com/hire/index.aspx","PowerSchool"
"2007750","Jayhawk Unified School District 346","KS","Mound City","Response","usd346.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&trimText=2&employerCode=6ebf4f3aea76d49&MapQuery=414","Educate Kansas"
"2008790","Lincoln Unified School District 298","KS","Lincoln","Response","usd298.com","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&trimText=2&employerCode=2cce855e67f0a63&MapQuery=133","Educate Kansas"
"2503870","Concord-Carlisle School District","MA","Concord","Response","concordps.org","Response","https://www.applitrack.com/concord/onlineapp/default.aspx","Frontline"
"2010770","Pleasanton Unified School District 344","KS","Pleasanton","Response","usd344.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.search.job&jobHash=da4481d1888fc22&employerHash=778e408358cda62","Educate Kansas"
"2010980","Blue Valley Unified School District 384","KS","Randolph","Response","usd384.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&employerCode=584243f310bfa4e&MapQuery=PO+Box+98++Randolph%2C+KS+66554&trimText=2","Educate Kansas"
"2011370","Salina Unified School District 305","KS","Salina","Response","usd305.com","Response","https://www.applitrack.com/usd305/onlineapp/","Frontline"
"2011400","Satanta Unified School District 507","KS","Satanta","Response","usd507.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&trimText=1&employerCode=89a7f81191699cc&MapQuery=100","Educate Kansas"
"2505670","Hamilton-Wenham School District","MA","Wenham","Response","hwschools.net","Response","",
"2012600","Victoria Unified School District 432","KS","Victoria","Response","usd432.org","Response","https://jobs.educatekansas.org/inner.php?p=scripts/funct.employer.details&trimText=2&employerCode=8045f51f1829a10&MapQuery=1105","Educate Kansas"
"2507380","Martha's Vineyard School District","MA","Vineyard Haven","Response","mvyps.org","Response","http://www.schoolspring.com/jobs/?iframe=1&employer=11445&","SchoolSpring"
"2103150","Knox County School District","KY","Barbourville","Response","knoxkyschools.com","Response","https://knoxcounty.schoolspring.com/","SchoolSpring"
"2103180","Larue County School District","KY","Hodgenville","Response","larue.kyschools.us","Response","https://www.applitrack.com/laruecounty/onlineapp/","Frontline"
"3612330","Goshen Central School District","NY","GOSHEN","Response","goshenschoolsny.org","Response","https://gcsny.recruitfront.com/JobOpportunities","RecruitFront"
"2104590","Owensboro Independent School District","KY","Owensboro","Response","owensboro.kyschools.us","Response","https://owensboro.tedk12.com/hire/index.aspx","SchoolSpring"
"2104620","Owsley County School District","KY","Booneville","Response","owsley.kyschools.us","Response","https://applications.education.ky.gov/keps/JobDetails.aspx?vID=2025202601722","Kentucky Department of Education"
"2105550","Todd County School District","KY","Elkton","Response","todd.kyschools.us","Response","https://toddky.tedk12.com/hire/index.aspx","PowerSchool"
"2105580","Trigg County School District","KY","Cadiz","Response","trigg.kyschools.us","Response","https://tcsd.tedk12.com/hire/index.aspx","PowerSchool"
"2105610","Trimble County School District","KY","Bedford","Response","trimble.kyschools.us","Response","https://trimble.tedk12.com/hire/index.aspx","PowerSchool"
"2105640","Union County School District","KY","Morganfield","Response","union.kyschools.us","Response","https://unioncounty.tedk12.com/hire/index.aspx","PowerSchool"
"2105940","Williamstown Independent School District","KY","Williamstown","Response","williamstown.kyschools.us","Response","https://williamstownky.tedk12.com/hire/index.aspx","PowerSchool"
"2105970","Wolfe County School District","KY","Campton","Response","wolfe.kyschools.us","Response","https://www.k12jobspot.com/District/5936/Jobs","K12JobSpot"
